,course_id,title,credit,description,faculty,department,prerequesite,corequesite,prof name,semesters
10,ACCT 453,Advanced Financial Accounting,3.0,Accounting : Reporting relevant financial information subsequent to long term intercorporate investments. The preparation of consolidated financial statements with emphasis on their economic substance rather than legal form.    ,Desautels Faculty of Management,Management,ACCT 352 or ACCT 312 ,,"{'Fall': ['Julia Scott', 'Jim Wilson'], 'Winter': ['Jim Wilson', 'Gaelen McPhie']}","{'Fall', 'Winter'}"
11,ACCT 454,Financial Reporting,3.0,Accounting : An in-depth study of Canadian accounting standards and how Canadian corporations apply them in their financial reporting.    ,Desautels Faculty of Management,Management,ACCT 352 or ACCT 312 ,,{},set()
12,ACCT 455,Development of Accounting Thought,3.0,"Accounting : The conceptual underpinning of accounting thought, including its historical development and the modifications that have occurred over time. A review of accounting literature and its relevance to practice.    ",Desautels Faculty of Management,Management,ACCT 352 or ACCT 312 ,,"{'Fall': ['Ralph Cecere'], 'Winter': ['Ralph Cecere']}","{'Fall', 'Winter'}"
13,ACCT 463,Management Control,3.0,Accounting : The theoretical frameworks for the examination and evaluation of management accounting and control systems. The technical aspects of accounting along with behavioural issues of management control.    ,Desautels Faculty of Management,Management,ACCT 361 ,,"{'Fall': ['Philippe Levy'], 'Winter': ['Philippe Levy'], 'Summer': ['Rima Hindo']}","{'Summer', 'Fall', 'Winter'}"
14,ACCT 471,Non-Profit Accounting,3.0,"Accounting : The foundations and practices of non-profit accounting for organizations including government, volunteer, charitable, health care and educational. The framework to evaluate and understand emerging issues.    ",Desautels Faculty of Management,Management,ACCT 352 or ACCT 312 ,,{},set()
15,ACCT 475,Principles of Auditing,3.0,"Accounting : An introduction to basic auditing concepts and internal controls of an accounting system. Topics include current auditing standards, ethical conduct, legal liability, planning of an audit, sampling techniques, non-audit engagements, the study and evaluation of internal controls in an accounting system.    ",Desautels Faculty of Management,Management,ACCT 352 or ACCT 312 ,,"{'Fall': ['Ralph Cecere'], 'Winter': ['Ralph Cecere'], 'Summer': ['Ralph Cecere']}","{'Summer', 'Fall', 'Winter'}"
16,ACCT 476,Internal Auditing,3.0,"Accounting : The modern internal audit approach including operational and management audit practices within the internal audit framework. Topics include objectives of an internal audit, communication by internal auditors, planning audit projects, audit of EDP systems, audit testing, operational areas.    ",Desautels Faculty of Management,Management,ACCT 475 ,,{},set()
17,ACCT 477,External Auditing,3.0,"Accounting : The theory of auditing financial statements and the various complexities encountered in these audit environments. A thorough study of auditing standards, ethical conduct, communication by auditors, auditing in an EDP environment, audit of a small business, other reports and services provided by auditors and public accountants.    ",Desautels Faculty of Management,Management,ACCT 475 ,,{},set()
18,ACCT 486,Business Taxation 2,3.0,"Accounting : A study of the Income Tax Act as it applies to the taxation of individuals and corporations, including capital cost allowances, capital gains, corporate reorganisations, trusts and partnerships and administrative regulations. A review of consumption taxes.    ",Desautels Faculty of Management,Management,ACCT 385 ,,"{'Fall': ['Larry Goldsman', 'Joseph Oliverio'], 'Winter': ['Larry Goldsman', 'Jack Triassi']}","{'Fall', 'Winter'}"
19,ACCT 604,Financial Statements 1,3.0,"Accounting : Introduction to financial accounting, including the objectives of financial statement analysis. Discussion of the limitations of the financial information used in financial statement analysis.    ",Desautels Faculty of Management,Management,FINE 673 ,,{'Fall': ['Desmond Tsang']},{'Fall'}
20,ACCT 605,Financial Statements 2,3.0,Accounting : The company valuation process. Establish frameworks using public data.    ,Desautels Faculty of Management,Management,ACCT 604 ,,{},set()
21,ACCT 618,Financial Reporting: Structure & Analysis,3.0,"Accounting : An in-depth analysis of corporate financial reporting principles and practices, with emphasis on developing the abilities of the student to discriminate between the form and substance of corporate financial reports. Analysis of all components of the financial statements with the effect of reference to alternative practices on financial reports.    ",Desautels Faculty of Management,Management,,,"{'Winter': ['Steve Fortin'], 'Summer': ['Steve Fortin']}","{'Summer', 'Winter'}"
22,ACCT 619,Financial Reporting: Valuation,3.0,"Accounting : Analysis of financial statements and their uses. A financial statement analysis framework will be developed and applied to: (1) development of business and securities valuations, (2) the prediction of bankruptcy, (3) the strategic planning process, (4) the interpretation of consolidated financial statements.    ",Desautels Faculty of Management,Management,,,{},set()
23,ACCT 622,Intermediate Financial Reporting 1,3.0,"Accounting : Theoretical foundation for financial reporting concepts such as asset measurement, revenue recognition and disclosure of financial information.    ",Desautels Faculty of Management,Management,MGCR 611 ,,{},set()
24,ACCT 623,Intermediate Financial Reporting 2,3.0,"Accounting : Theoretical foundation for financial reporting concepts such as liability and equity measurement, intercorporate investments.    ",Desautels Faculty of Management,Management,ACCT 622. ,,{},set()
25,ACCT 624,Management Accounting: Planning & Control,3.0,"Accounting : Preparation and analysis of management accounting information, effective design and implementation of management accounting systems.    ",Desautels Faculty of Management,Management,MGCR 611 ,,{},set()
26,ACCT 625,Canadian Taxation,3.0,"Accounting : An overview of the income tax system; emphasis on its impact on selected business decisions.  Topics include: individual and corporate taxation, tax shelters, tax planning and international operations.    ",Desautels Faculty of Management,Management,MGCR 611. ,,{},set()
27,ACCT 653,Issues in Professional Accounting 1,3.0,"Accounting : How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.    ",Desautels Faculty of Management,Management,,,"{'Summer': ['Amanda Abrams', 'James Kane', 'Melissa Marginson']}",{'Summer'}
28,ACCT 653D1,Issues in Professional Accounting 1,1.5,"Accounting : How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.    ",Desautels Faculty of Management,Management,,,{},set()
29,ACCT 653D2,Issues in Professional Accounting 1,1.5,"Accounting : How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.    ",Desautels Faculty of Management,Management,ACCT 653D1. ,,{},set()
30,ACCT 654,Issues in Professional Accounting 2,3.0,"Accounting : Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.    ",Desautels Faculty of Management,Management,,,"{'Summer': ['Amanda Abrams', 'James Kane', 'Rayees Haider']}",{'Summer'}
31,ACCT 654D1,Issues in Professional Accounting 2,1.5,"Accounting : Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.    ",Desautels Faculty of Management,Management,,,{},set()
32,ACCT 654D2,Issues in Professional Accounting 2,1.5,"Accounting : Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.    ",Desautels Faculty of Management,Management,ACCT 654D1 ,,{},set()
33,ACCT 663,Strategic Aspects of Accounting 1,3.0,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation.  Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.    ",Desautels Faculty of Management,Management,,,"{'Summer': ['Julia Scott', 'Evan Schneiderman', 'Jennifer Diodati']}",{'Summer'}
34,ACCT 663D1,Strategic Aspects of Accounting 1,1.5,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation.  Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.    ",Desautels Faculty of Management,Management,,,{},set()
35,ACCT 663D2,Strategic Aspects of Accounting 1,1.5,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation.  Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.    ",Desautels Faculty of Management,Management,ACCT 663D1 ,,{},set()
36,ACCT 664,Strategic Aspects of Accounting 2,3.0,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.    ",Desautels Faculty of Management,Management,,,"{'Summer': ['Julia Scott', 'Ryan Abrams', 'Jennifer Diodati']}",{'Summer'}
37,ACCT 664D1,Strategic Aspects of Accounting 2,1.5,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.    ",Desautels Faculty of Management,Management,,,{},set()
38,ACCT 664D2,Strategic Aspects of Accounting 2,1.5,"Accounting : Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.    ",Desautels Faculty of Management,Management,ACCT 664D1 ,,{},set()
39,ACCT 683,Practice of Taxation,4.0,"Accounting : Providing taxation services and guidance, including assisting individual and corporate entities to minimize taxes and meet their objectives while complying with tax laws and regulations.  Addressing compliance and tax-planning issues for both individuals and corporate entities, as well as, to a lesser extent, partnerships and trusts. Recognizing the interrelationship between financial reporting decisions and taxation, and the importance of taking taxes into account when making business and investment decisions.    ",Desautels Faculty of Management,Management,"ACCT 653, ACCT 654, ACCT 663, ACCT 664 ",,"{'Fall': ['Marie-Danielle Roy', 'Joseph Armanious', 'Riccardo Zerbino', 'Julia Scott', 'Matthew Cote', 'Melissa Marginson']}",{'Fall'}
40,ACCT 685,Accounting and Performance Management,4.0,"Accounting : Applying conceptual frameworks for strategy, governance, risk, and performance in complex settings. Contributing to strategic decision-making, supporting effective governance, managing and mitigating risk, and assessing overall performance management.  Focusing on improving performance and delivering sustainable value.    ",Desautels Faculty of Management,Management,"ACCT 653, ACCT 654, ACCT 663, ACCT 664 ",,{},set()
41,ACCT 687,Assurance Services,4.0,"Accounting : Performing both internal audit projects and external assurance engagements; from understanding how governance plays a key role, assessing the need for an engagement, to developing and performing the procedures, through to documenting and reporting results.  While this course is primarily designed for students who wish to practise public accounting or to work in internal audit, it would be beneficial to a wide range of students because it focuses on the key concepts of auditing, such as risk, materiality, and internal control, which are concepts that have broad application.    ",Desautels Faculty of Management,Management,"ACCT 653, ACCT 654, ACCT 663, ACCT 664 ",,"{'Fall': ['Melissa Rosen', 'Gina Biscotti', 'Julia Scott', 'David Palladini', 'Gaelen McPhie']}",{'Fall'}
42,ACCT 689,Financial Business Analysis,4.0,"Accounting : Developing overall finance policies and identifying, analyzing, evaluating, and recommending investment and financing decisions.  Applying appropriate finance principles and conceptual approaches to determine appropriate courses of action.  Providing finance-related services for an entity, either individually or as part of a larger team, understanding when the advice of a finance specialist is required, and understanding and communicating with other finance professionals.    ",Desautels Faculty of Management,Management,"ACCT 653, ACCT 654, ACCT 663, ACCT 664 ",,{},set()
43,ACCT 690,Advanced Topics in Accounting 1,3.0,Accounting : A learning cell in which one or more students work with a faculty member.    ,Desautels Faculty of Management,Management,,,{},set()
44,ACCT 695,Integrative Analysis,4.0,"Accounting : Integration of the enabling competencies and the six technical competency areas required of a CPA. Developing strategic leadership capabilities and the ability to bring an integrative perspective to decision-making including: professional and ethical behaviour, problem-solving and decision-making, communication (both written and oral), self-management, teamwork and leadership.    ",Desautels Faculty of Management,Management," ACCT 683, ACCT 685, ACCT 687, ACCT 689. ",ACCT 699 ,"{'Summer': ['Julia Scott', 'Titika Ziavras', 'Melissa Rosen', 'Robert Matarasso']}",{'Summer'}
45,ACCT 696,Advanced Topics in Accounting Analytics,1.5,Accounting : Current emerging topics in accounting analytics. Course content will vary each term.    ,Desautels Faculty of Management,Management,,,{},set()
46,ACCT 699,Exam Preparation Seminar,0.0,Accounting : Using complex and highly integrative cases that simulate real-life business issues to apply the technical and enabling competencies acquired throughout the CPA certification program. Practicing developing responses to business simulations and communicating a well-structured response.    ,Desautels Faculty of Management,Management," ACCT 683, ACCT 685, ACCT 687, ACCT 689. ",ACCT 695 ,"{'Summer': ['Julia Scott', 'Robert Matarasso', 'Gina Biscotti', 'Deanna Toews', 'Melissa Rosen', 'Marie-Danielle Roy', 'Jenny Bradley-Tessier', 'Joshua Tassoni']}",{'Summer'}
47,ACCT 705,Seminar in Accounting,3.0,Accounting : Seminar in Accounting.    ,Desautels Faculty of Management,Management,,,{},set()
48,ACCT 706,Research Design in Accounting,3.0,Accounting : Course is designed in two parts. The first part covers major research design issues relevant to all fields of accounting. The second part addresses critical methodological issues specific to various fields of accounting research.    ,Desautels Faculty of Management,Management,,,"{'Fall': ['Jingjing Zhang', 'MaryJane Rabier']}",{'Fall'}
49,ACCT 707,Accountability and Sustainability,3.0,Accounting : The course provides an overview of key research on the broader role of accounting and accountability in shaping sustainable organizational and societal practices.  The course focuses on most recent theoretical and empirical advances in two rapidly growing interrelated fields of research: environmental accounting and social accounting.    ,Desautels Faculty of Management,Management,,,{},set()
50,AEBI 120,General Biology,3.0,"Biology (Agric & Envir Sc) : An introduction to the structure, function and adaptation of plants and animals in the biosphere.    ",Agricultural & Environmental Sciences,Natural Resource Sciences,,,{'Fall': ['Gary Brian Dunphy']},{'Fall'}
51,AEBI 122,Cell Biology,3.0,"Biology (Agric & Envir Sc) : Chemical basis for cell biology; enzymes in biological reactions; membranes and the cell surface; cellular energetics; cell synthesis and growth; mitosis, meiosis and genetic consequences.  

    ",Agricultural & Environmental Sciences,Bioresource Engineering,AECH 110 ,,{'Winter': ['Fernando Altamura']},{'Winter'}
52,AEBI 210,Organisms 1,3.0,"Biology (Agric & Envir Sc) : The biology of plants and plant-based systems in managed and natural terrestrial environments. The interactions between autotrophs and soil organisms and selected groups of animals with close ecological and evolutionary connections with plants (e.g., herbivores and pollinators) will be explored in lecture and laboratory.    ",Agricultural & Environmental Sciences,Plant Science,,,{'Fall': ['Jaswinder Singh']},{'Fall'}
53,AEBI 211,Organisms 2,3.0,"Biology (Agric & Envir Sc) : Introduction to the biology, physiology, structure and function of heterotrophs and their interactions with other organisms. This course will focus on animals in terrestrial, freshwater and marine environments. Topics include bioenergetics and functional metabolism, adaptations to environments, animal-animal, animal-plant, and animal-pathogen interactions.    ",Agricultural & Environmental Sciences,Natural Resource Sciences,,,{'Winter': ['Jessica Head']},{'Winter'}
54,AEBI 212,Evolution and Phylogeny,3.0,"Biology (Agric & Envir Sc) : A phylogenetic-based overview of the tree of life and examination of relationships between major taxa, from bacteria and archaea to eukaryotes. Evolution will be discussed via topics including: evolution by natural selection, neo-Darwinism and alternatives, myths and misconceptions in evolution, species and speciation.

    ",Agricultural & Environmental Sciences,Natural Resource Sciences,,,{'Winter': ['Christie-Anna Lovat']},{'Winter'}
55,AEBI 421,Tropical Horticultural Ecology,3.0,"Biology (Agric & Envir Sc) : A comprehensive survey of the major fruit, vegetable, turf, and ornamental crops grown in Barbados. Effect of cultural practices, environment, pests and pathogens, social and touristic activities, and importation of horticultural produce on local horticulture.    ",Agricultural & Environmental Sciences,Plant Science,,"AEBI 423, AEBI 425, AEBI 427 ",{'Summer': ['Danielle J Donnelly']},{'Summer'}
56,AEBI 423,Sustainable Land Use,3.0,"Biology (Agric & Envir Sc) : Management, preservation, and utilization of forage crops in sustainable tropical environments; examination of their value as livestock feed in terms of nutritional composition and impact on animal performance; land use issues as it pertains to forage and animal production in insular environments.    ",Agricultural & Environmental Sciences,Plant Science,,"AEBI 421, AEBI 425, AEBI 427 ","{'Summer': ['Philippe Seguin', 'Elsa Vasseur']}",{'Summer'}
57,AEBI 425,Tropical Energy and Food,3.0,"Biology (Agric & Envir Sc) : Tropical biofuel crops, conversion processes and final products, particularly energy and greenhouse gas balances and bionutraceuticals. Topics include effects of process extraction during refining on biofuel economics, the food versus fuel debate and impact of biofuels and bioproducts on tropical agricultural economics.    ",Agricultural & Environmental Sciences,Plant Science,,"AEBI 421, AEBI 423 and AEBI 427. ","{'Summer': ['Donald L Smith', 'Stan Kubow', 'Mark Lefsrud']}",{'Summer'}
58,AEBI 427,Barbados Interdisciplinary Project,6.0,"Biology (Agric & Envir Sc) : The planning of projects and research activities related to tropical food, nutrition, or energy at the local, regional, or national scale in Barbados. Projects and activities designed in consultation with university instructors, government, NGO, or private partners, and prepared by teams of 2-3 students working cooperatively with these mentors.    ",Agricultural & Environmental Sciences,Plant Science,,"AEBI 421, AEBI 423 and AEBI 425 ",{'Summer': ['Danielle J Donnelly']},{'Summer'}
59,AECH 110,General Chemistry 1,4.0,"Chemistry (Agric&EnvirSci) : The course will be a study of the fundamental principles of atomic structure, valence theory and the periodic table.    ",Agricultural & Environmental Sciences,Bioresource Engineering,,,{'Fall': ['Alice Cherestes']},{'Fall'}
60,AECH 111,General Chemistry 2,4.0,"Chemistry (Agric&EnvirSci) : Thermodynamics, kinetics, equilibrium, aqueous solution chemistry including applications to acids, bases and buffers and selected topics in organic chemistry.    ",Agricultural & Environmental Sciences,Bioresource Engineering,FDSC 110 or AECH 110 ,,{'Winter': ['Alice Cherestes']},{'Winter'}
61,AECH 118,General Chemistry Laboratory 1,1.0,Chemistry (Agric&EnvirSci) : The laboratory component of AECH 110. Illustrative experiments.    ,Agricultural & Environmental Sciences,Bioresource Engineering,Permission of instructor. ,,{'Fall': ['Alice Cherestes']},{'Fall'}
62,AECH 119,General Chemistry Laboratory 2,1.0,Chemistry (Agric&EnvirSci) : The laboratory component of AECH 111. Illustrative experiments.    ,Agricultural & Environmental Sciences,Bioresource Engineering,Permission of instructor. ,,{'Winter': ['Alice Cherestes']},{'Winter'}
63,AEHM 205,Science Literacy,3.0,English (Agric & Envir Sc) : Development of English language and information literacy. Problem-based approach using science topics from specializations offered by the Faculty will be central to skill development. The course includes how to research and compose work in scientific format and will encourage a reader-oriented style.    ,Agricultural & Environmental Sciences,Natural Resource Sciences,,,"{'Fall': ['Carole Newman', 'Emily MacKenzie'], 'Winter': ['Carole Newman', 'Emily MacKenzie']}","{'Fall', 'Winter'}"
64,AEHM 300,ESL: High Intermediate 1,3.0,"English (Agric & Envir Sc) : Improves proficiency of general writing skills while developing reading, oral and aural skills. Focuses on the structure of the English language and the process required to produce coherent short papers. Emphasis on the English of food, agriculture, and the environment.    ",Agricultural & Environmental Sciences,Agricultural & Env.Sc.-Dean,placement test ,,{},set()
65,AEHM 301,ESL: High Intermediate 2,3.0,"English (Agric & Envir Sc) : A continuation of AEHM 300. Further improves proficiency of general writing skills while developing reading, oral and aural skills. Focuses on the structure of the English language and the process required to produce coherent short papers. Emphasis on the English of food, agriculture, and the environment.    ",Agricultural & Environmental Sciences,Agricultural & Env.Sc.-Dean,AEHM 300 or placement test  ,,{},set()
66,AEHM 330,Academic and Scientific Writing,3.0,"English (Agric & Envir Sc) : The object of the course is to enable students who have previously mastered the basic elements of written English to produce well-written, well-researched, and well-documented scientific papers for an academic audience and beyond.    ",Agricultural & Environmental Sciences,Natural Resource Sciences,,,{'Fall': ['Carole Newman']},{'Fall'}
67,AEMA 101,Calculus 1,3.0,"Mathematics (Agric&Envir Sci) : A review of functions and graphs. Limits, continuity, derivatives. Differentiation of elementary functions. Anti-differentiation. Applications.    ",Agricultural & Environmental Sciences,Animal Science,a course in functions ,,{'Fall': ['John F Hayes']},{'Fall'}
68,AEMA 102,Calculus 2,4.0,"Mathematics (Agric&Envir Sci) : Integration, the indefinite and definite integral. Trapezoidal and Simpson's Rule approximations for the integral. Applications to areas between curves, distance, volume, length of a curve, work, area of a surface of revolution, average values, moments, etc. Improper integrals and infinite series.    ",Agricultural & Environmental Sciences,Animal Science,Calculus 1 or equivalent  ,,{'Winter': ['John F Hayes']},{'Winter'}
69,AEMA 105,Precalculus Lab,1.0,"Mathematics (Agric&Envir Sci) : Problem-solving: foundational material in algebra concepts, functions and graphs, polynomials and rational functions, exponential and logarithmic functions, graphs and equations, trigonometry, analytic trigonometry, systems of linear equations, sequences & series.    ",Agricultural & Environmental Sciences,Bioresource Engineering,,,{'Fall': ['Alice Cherestes']},{'Fall'}
70,AEMA 202,Intermediate Calculus,3.0,Mathematics (Agric&Envir Sci) : Partial differentiation; multiple integrals; vector calculus; infinite series; and introduction to the use of computer-based mathematical tools in applications.    ,Agricultural & Environmental Sciences,Bioresource Engineering,BREE 103 and AEMA 102 or equivalent CEGEP objectives 00UP and 00UQ or permission of instructor ,,{'Fall': ['David Titley-Péloquin']},{'Fall'}
71,AEMA 305,Differential Equations,3.0,"Mathematics (Agric&Envir Sci) : First and second order differential equations, Laplace transforms, numerical solutions, systems of differential equations, series solutions, applications to biological, chemical and engineering systems, use of computer-based mathematical tools.    ",Agricultural & Environmental Sciences,Bioresource Engineering,AEMA 202 or equivalent ,,{'Winter': ['David Titley-Péloquin']},{'Winter'}
72,AEMA 310,Statistical Methods 1,3.0,"Mathematics (Agric&Envir Sci) : Measures of central tendency and dispersion; binomial and Poisson distributions; normal, chi-square, Student's t and Fisher-Snedecor F distributions; estimation and hypothesis testing; simple linear regression and correlation; analysis of variance for simple experimental designs.    ",Agricultural & Environmental Sciences,Plant Science,,,"{'Fall': ['Pierre R L Dutilleul'], 'Winter': ['Pierre R L Dutilleul', 'Valérie Gravel']}","{'Fall', 'Winter'}"
73,AEMA 403,Environmetrics Stage,3.0,"Mathematics (Agric&Envir Sci) : Summer stage of at least four weeks, including a report. Provides students with professional experience in statistical analyses of environmental data. Can be undertaken at federal or provincial research stations and university research laboratories.    ",Agricultural & Environmental Sciences,Plant Science,Permission of the instructor based on satisfactory completion of the U2 year of the Environmetrics Domain in the McGill School of Environment ,,{'Winter': ['Pierre R L Dutilleul']},"{'Fall', 'Winter'}"
74,AEMA 411,Experimental Designs 01,3.0,"Mathematics (Agric&Envir Sci) : General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.    ",Agricultural & Environmental Sciences,Plant Science,AEMA 310 or equivalent  ,,{'Winter': ['Pierre R L Dutilleul']},{'Winter'}
75,AEMA 414,Temporal and Spatial Statistics 01,3.0,"Mathematics (Agric&Envir Sci) : Temporal statistics: analysis in the time domain, Box-Jenkins forecasting methodology, analysis in the frequency domain, periodogram analysis. Spatial statistics: mapping, autocorrelogram analysis, geostatistics. Statistical inference with autocorrelated sample data.    ",Agricultural & Environmental Sciences,Plant Science,AEMA 310 or equivalent  ,,{},set()
76,AEMA 610,Statistical Methods 2,3.0,"Mathematics (Agric&Envir Sci) : Principles of linear models, multiple regression equations and classification models. Introduction to Analysis of Variance and common statistical designs used in agricultural and environmental sciences. Emphasis on balanced and unbalanced designs and data structures; their analysis and tests of statistical significance.    ",Agricultural & Environmental Sciences,Animal Science,AEMA 310 or equivalent  ,,{'Fall': ['Roger I Cue']},{'Fall'}
77,AEMA 611,Experimental Designs 1,3.0,"Mathematics (Agric&Envir Sci) : General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.    ",Agricultural & Environmental Sciences,Plant Science,AEMA 310 or equivalent ,,{'Winter': ['Pierre R L Dutilleul']},{'Winter'}
78,AEMA 614,Temporal and Spatial Statistics 1,3.0,"Mathematics (Agric&Envir Sci) : Temporal statistics: analysis in the time domain, Box-Jenkins forecasting methodology, analysis in the frequency domain, periodogram analysis. Spatial statistics: mapping, autocorrelogram analysis, geostatistics.  Statistical inference with autocorrelated sample data.    ",Agricultural & Environmental Sciences,Plant Science,AEMA 310 or equivalent ,,{},set()
79,AEPH 112,Introductory Physics 1,4.0,"Physics (Agric & Envir Sci) : Accelerated motion. Newton's Laws. Force, work and energy, power; momentum. Conservation principles. Circular motion. Simple harmonic motion. Waves and sound.    ",Agricultural & Environmental Sciences,Bioresource Engineering,"AEMA 100 (or MATH 112) and AEPH 110, or equivalents, or permission of instructor ","AEMA 101 (or MATH 139) or higher level calculus course or CEGEP objective 00UN, or permission of instructor ",{'Fall': ['David Titley-Péloquin']},{'Fall'}
